17%,-5.0,-5.0,-10.0,-10.0,-10.0,-10.0,-15.0,-20.0,-20.0,,
18%,-5.0,-5.0,-5.0,-10.0,-10.0,-10.0,-15.0,-20.0,-20.0,,
19%,-5.0,-5.0,-5.0,-10.0,-10.0,-10.0,-15.0,-15.0,-20.0,,
20%,-5.0,-5.0,-5.0,-10.0,-10.0,-10.0,-15.0,-15.0,-20.0,,
21%,-5.0,-5.0,-5.0,-10.0,-10.0,-10.0,-15.0,-15.0,-15.0,,
22%,-5.0,-5.0,-5.0,-5.0,-10.0,-5.0,-10.0,-15.0,-15.0,,
23%,0.0,-5.0,-5.0,-5.0,-10.0,-5.0,-10.0,-15.0,-15.0,,
24%,0.0,-5.0,-5.0,-5.0,-10.0,-5.0,-10.0,-15.0,-15.0,,
25%,0.0,-5.0,-5.0,-5.0,-10.0,-5.0,-10.0,-10.0,-15.0,,
26%,0.0,-5.0,-5.0,-5.0,-5.0,-5.0,-10.0,-10.0,-15.0,,
27%,0.0,-5.0,-5.0,-5.0,-5.0,-5.0,-10.0,-10.0,-15.0,,
28%,0.0,-5.0,-5.0,-5.0,-5.0,-5.0,-10.0,-10.0,-10.0,,
29%,0.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-10.0,-10.0,,
30%,0.0,0.0,-5.0,-5.0,-5.0,-5.0,-5.0,-10.0,-10.0,,
31%,0.0,0.0,-5.0,-5.0,-5.0,-5.0,-5.0,-10.0,-10.0,,
32%,0.0,0.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-10.0,,
33%,0.0,0.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-10.0,,
34%,0.0,0.0,0.0,-5.0,-5.0,0.0,-5.0,-5.0,-10.0,,
35%,0.0,0.0,0.0,-5.0,-5.0,0.0,-5.0,-5.0,-5.0,,
36%,0.0,0.0,0.0,0.0,-5.0,0.0,-5.0,-5.0,-5.0,,
37%,0.0,0.0,0.0,0.0,-5.0,0.0,-5.0,-5.0,-5.0,,
38%,0.0,0.0,0.0,0.0,0.0,0.0,-5.0,-5.0,-5.0,,
39%,0.0,0.0,0.0,0.0,0.0,0.0,-5.0,-5.0,-5.0,,
40%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0,-5.0,,
41%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0,-5.0,,
42%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0,,
43%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0,,
44%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0,,
45%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
46%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
47%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
48%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
49%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
50%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
51%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
52%,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,,
53%,0.0,0.0,0.0,5.0,5.0,0.0,5.0,0.0,0.0,,
54%,0.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,0.0,,
55%,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,2.2500000000002274,,
56%,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,
57%,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,
58%,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,
59%,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,
60%,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,
61%,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,
62%,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,
63%,0.0,5.0,5.0,5.0,5.0,5.0,10.0,5.0,5.0,,
64%,0.0,5.0,5.0,5.0,5.0,5.0,10.0,5.0,5.0,,
65%,0.0,5.0,5.0,5.0,5.0,5.0,10.0,5.0,5.0,,
66%,0.0,5.0,5.0,5.0,10.0,5.0,10.0,10.0,10.0,,
67%,0.0,5.0,5.0,5.0,10.0,5.0,10.0,10.0,10.0,,
68%,0.0,5.0,5.0,5.0,10.0,5.0,10.0,10.0,10.0,,
69%,0.0,5.0,5.0,10.0,10.0,5.0,10.0,10.0,10.0,,
70%,0.0,5.0,5.0,10.0,10.0,10.0,10.0,10.0,10.0,,
71%,0.0,5.0,5.0,10.0,10.0,10.0,10.0,10.0,10.0,,
72%,0.0,5.0,5.0,10.0,10.0,10.0,10.0,10.0,10.0,,
73%,0.0,5.0,5.0,10.0,10.0,10.0,15.0,10.0,10.0,,
74%,0.0,5.0,10.0,10.0,10.0,10.0,15.0,10.0,12.300000000000182,,
75%,0.0,5.0,10.0,10.0,10.0,10.0,15.0,15.0,15.0,,
76%,0.0,5.0,10.0,10.0,10.0,10.0,15.0,15.0,15.0,,
77%,0.0,5.0,10.0,10.0,15.0,10.0,15.0,15.0,15.0,,
78%,0.0,5.0,10.0,10.0,15.0,10.0,15.0,15.0,15.0,,
79%,0.0,5.0,10.0,10.0,15.0,10.0,15.0,15.0,15.0,,
80%,0.0,5.0,10.0,10.0,15.0,10.0,15.0,15.0,15.0,,
81%,0.0,5.0,10.0,15.0,15.0,10.0,20.0,15.0,15.0,,
82%,0.0,5.0,10.0,15.0,15.0,10.0,20.0,20.0,18.899999999999864,,
83%,0.0,5.0,10.0,15.0,15.0,10.0,20.0,20.0,20.0,,
84%,0.0,5.0,10.0,15.0,15.0,10.0,20.0,20.0,20.0,,
85%,0.0,10.0,10.0,15.0,20.0,15.0,20.0,20.0,20.0,,
86%,0.0,10.0,15.0,15.0,20.0,15.0,20.0,20.0,20.0,,
87%,0.0,10.0,15.0,15.0,20.0,15.0,25.0,20.0,25.0,,
88%,0.0,10.0,15.0,15.0,20.0,15.0,25.0,25.0,25.0,,
89%,5.0,10.0,15.0,20.0,20.0,15.0,25.0,25.0,25.0,,
90%,5.0,10.0,15.0,20.0,20.0,15.0,25.0,25.0,25.0,,
91%,5.0,10.0,15.0,20.0,25.0,15.0,30.0,25.0,25.0,,
92%,5.0,10.0,15.0,20.0,25.0,20.0,30.0,25.0,30.0,,
93%,5.0,10.0,20.0,20.0,25.0,20.0,30.0,30.0,30.0,,
94%,5.0,10.0,20.0,25.0,25.0,20.0,30.0,30.0,35.0,,
95%,5.0,15.0,20.0,25.0,30.0,25.0,35.0,30.0,35.0,,
96%,5.0,15.0,20.0,25.0,30.0,25.0,35.0,35.0,40.0,,
97%,5.0,15.0,25.0,30.0,30.0,30.0,40.0,35.0,40.0,,
98%,5.0,20.0,25.0,30.0,35.0,30.0,40.0,40.0,45.0,,
99%,10.0,25.0,30.0,35.0,40.0,35.0,50.0,55.0,55.0,,
max,30.0,50.0,75.0,85.0,95.0,40.0,85.0,90.0,90.0,,
